Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
ET,5.96,Call,6.00,05/08/20,25,0.51,0.53,0.55,0.53,42116,382,110.25,87.84%,04/13/20
CRM,152.5,Call,135.00,08/21/20,130,25.50,26.2,26.90,26.00,12054,114,105.74,44.78%,04/13/20
GD,136.95,Call,155.00,05/15/20,32,1.20,1.28,1.35,1.30,10458,105,99.6,39.58%,04/13/20
TSLA,650.95,Put,580.00,04/17/20,4,3.90,3.95,4.00,4.00,18135,294,61.68,97.25%,04/13/20
SWCH,15.64,Call,18.00,05/15/20,32,0.35,0.43,0.50,0.40,5273,105,50.22,62.23%,04/13/20
X,6.8,Put,7.00,06/19/20,67,1.02,1.04,1.06,1.05,4018,102,39.39,81.60%,04/13/20
TSLA,650.95,Put,590.00,04/17/20,4,5.30,5.4,5.50,5.34,6835,220,31.07,95.70%,04/13/20
GOOS,21.26,Call,22.50,05/15/20,32,1.40,1.42,1.45,1.45,5999,217,27.65,77.54%,04/13/20
AMZN,2168.87,Put,2160.00,04/17/20,4,31.05,31.78,32.50,32.21,4382,161,27.22,40.52%,04/13/20
EPD,16.73,Put,16.00,05/15/20,32,1.15,1.23,1.30,1.25,6070,232,26.16,82.88%,04/13/20
AMD,50.94,Put,51.00,04/17/20,4,1.36,1.39,1.42,1.38,4162,161,25.85,63.61%,04/13/20
SDC,4.12,Call,4.00,05/01/20,18,0.60,0.68,0.75,0.65,4637,182,25.48,164.05%,04/13/20
SLB,15.95,Call,20.00,08/21/20,130,1.35,1.41,1.46,1.37,10058,459,21.91,69.47%,04/13/20
AMZN,2168.87,Put,2200.00,04/17/20,4,53.65,55.85,58.05,55.17,2341,109,21.48,41.43%,04/13/20
UNP,146.9,Call,165.00,06/19/20,67,3.15,3.6,4.05,3.40,12013,582,20.64,36.92%,04/13/20
NWBI,11.16,Call,12.50,05/15/20,32,0.15,0.2,0.25,0.20,2063,103,20.03,47.49%,04/13/20
C,46.68,Call,48.50,04/17/20,4,1.28,1.34,1.39,1.36,6621,334,19.82,108.03%,04/13/20
FCAU,8.05,Call,7.00,06/19/20,67,1.55,1.63,1.70,1.60,2843,149,19.08,76.32%,04/13/20
TSLA,650.95,Put,595.00,04/17/20,4,6.20,6.33,6.45,6.30,3415,179,19.08,95.86%,04/13/20
AMZN,2168.87,Put,2100.00,04/17/20,4,10.60,11.3,12.00,11.49,7302,396,18.44,40.38%,04/13/20
AMZN,2168.87,Put,2090.00,04/17/20,4,8.35,9.33,10.30,9.64,2171,124,17.51,40.82%,04/13/20
WFC,31.43,Call,40.00,04/24/20,11,0.10,0.11,0.12,0.12,2931,171,17.14,86.11%,04/13/20
FEYE,10.7,Call,11.00,06/19/20,67,1.05,1.09,1.13,1.06,3330,198,16.82,64.52%,04/13/20
AMZN,2168.87,Put,2070.00,04/17/20,4,6.30,6.65,7.00,6.70,3173,190,16.7,41.70%,04/13/20
AXSM,60.04,Call,80.00,05/15/20,32,3.50,3.85,4.20,3.95,2218,134,16.55,137.20%,04/13/20
GGAL,6.83,Call,7.50,05/15/20,32,0.60,0.65,0.70,0.65,2357,145,16.26,112.18%,04/13/20
TSLA,650.95,Put,605.00,04/17/20,4,8.00,8.38,8.75,8.54,3195,200,15.98,95.92%,04/13/20
AMZN,2168.87,Put,2060.00,04/17/20,4,5.25,5.4,5.55,5.40,2986,189,15.8,41.80%,04/13/20
T,30.19,Put,26.00,04/24/20,11,0.12,0.14,0.15,0.13,5616,356,15.78,64.32%,04/13/20
TLRY,6.57,Put,4.00,06/19/20,67,0.49,0.66,0.83,0.63,4021,256,15.71,185.72%,04/13/20
WW,21.17,Call,30.00,07/17/20,95,0.90,1.35,1.80,1.04,3038,203,14.97,77.57%,04/13/20
TSLA,650.95,Call,635.00,04/17/20,4,32.60,34.3,36.00,35.00,4377,295,14.84,97.62%,04/13/20
TSLA,650.95,Put,635.00,04/17/20,4,18.60,18.95,19.30,19.00,2432,165,14.74,97.80%,04/13/20
TSLA,650.95,Put,585.00,04/17/20,4,4.55,4.65,4.75,4.70,4790,339,14.13,96.96%,04/13/20
TSLA,650.95,Call,670.00,04/17/20,4,19.35,19.98,20.60,20.15,4236,316,13.41,103.87%,04/13/20
STNE,23.01,Put,20.00,04/17/20,4,0.10,0.15,0.20,0.20,1820,137,13.28,124.40%,04/13/20
GILD,75.28,Call,120.00,08/21/20,130,0.83,0.87,0.90,0.84,3964,304,13.04,51.43%,04/13/20
AAPL,273.25,Call,277.50,04/17/20,4,2.70,2.74,2.78,2.78,11649,923,12.62,39.83%,04/13/20
TSLA,650.95,Call,700.00,04/17/20,4,11.75,11.88,12.00,11.90,39414,3137,12.56,107.47%,04/13/20
TSLA,650.95,Call,720.00,04/17/20,4,7.75,8.23,8.70,8.55,6280,508,12.36,111.33%,04/13/20
AMZN,2168.87,Call,2220.00,04/17/20,4,16.45,17.25,18.05,17.15,2754,224,12.29,40.55%,04/13/20
SLB,15.95,Put,15.00,08/21/20,130,2.35,2.61,2.87,2.47,10242,838,12.22,81.18%,04/13/20
GM,23.01,Put,8.00,01/15/21,277,0.50,0.6,0.70,0.59,2000,171,11.7,100.11%,04/13/20
PDD,41.42,Put,25.00,09/18/20,158,1.05,1.15,1.25,1.20,2817,241,11.69,74.82%,04/13/20
TSLA,650.95,Put,640.00,04/17/20,4,21.00,21.3,21.60,21.40,3398,292,11.64,98.58%,04/13/20
MOS,12.2,Call,17.00,09/18/20,158,0.45,0.8,1.16,0.69,2000,172,11.63,61.73%,04/13/20
CIM,7.52,Put,7.00,06/19/20,67,1.15,1.23,1.30,1.20,3612,319,11.32,118.56%,04/13/20
NFLX,396.72,Put,390.00,04/17/20,4,5.50,5.65,5.80,5.78,2514,223,11.27,53.31%,04/13/20
NFLX,396.72,Call,357.50,04/17/20,4,38.70,40.2,41.70,42.30,1227,110,11.15,97.00%,04/13/20
TJX,47.85,Call,55.00,05/15/20,32,0.70,0.8,0.90,0.68,1403,127,11.05,49.05%,04/13/20
TSLA,650.95,Put,610.00,04/17/20,4,9.70,9.9,10.10,9.70,4193,381,11.01,95.23%,04/13/20
AMZN,2168.87,Call,2300.00,04/24/20,11,22.00,22.5,23.00,23.00,1964,179,10.97,44.98%,04/13/20
XOM,42.76,Put,46.00,04/17/20,4,3.25,3.45,3.65,3.60,2460,229,10.74,77.89%,04/13/20
TSLA,650.95,Put,615.00,04/17/20,4,11.00,11.38,11.75,11.50,2170,205,10.59,96.86%,04/13/20
ROKU,96.56,Call,94.00,04/17/20,4,4.05,4.45,4.85,4.75,2562,242,10.59,83.08%,04/13/20
RCL,33.37,Put,40.00,05/01/20,18,8.60,9.23,9.85,8.97,1227,116,10.58,154.74%,04/13/20
SQ,59.42,Put,43.50,04/17/20,4,0.10,0.13,0.16,0.12,5645,537,10.51,164.27%,04/13/20
AMZN,2168.87,Call,2180.00,04/17/20,4,30.00,30.75,31.50,31.10,3647,361,10.1,39.92%,04/13/20
AAPL,273.25,Put,267.50,04/17/20,4,2.57,2.71,2.85,2.85,18268,1836,9.95,46.46%,04/13/20
AMZN,2168.87,Call,2270.00,04/17/20,4,7.75,8.15,8.55,8.40,1213,122,9.94,43.40%,04/13/20
JPM,98.19,Call,106.00,04/17/20,4,1.05,1.38,1.70,1.15,2142,216,9.92,90.56%,04/13/20
JPM,98.19,Put,98.00,04/17/20,4,3.35,3.5,3.65,3.50,1896,192,9.88,87.95%,04/13/20
JPM,98.19,Call,115.00,04/24/20,11,0.44,0.5,0.55,0.48,3842,390,9.85,66.34%,04/13/20
CMG,744.08,Put,650.00,04/17/20,4,1.50,1.95,2.40,2.00,2325,240,9.69,87.87%,04/13/20
AMZN,2168.87,Put,2025.00,04/17/20,4,2.35,2.75,3.15,2.35,1620,169,9.59,42.09%,04/13/20
KRA,9.47,Call,12.50,07/17/20,95,0.65,0.95,1.25,0.85,1282,134,9.57,90.90%,04/13/20
TSLA,650.95,Put,620.00,04/17/20,4,12.75,13,13.25,13.00,5303,557,9.52,96.46%,04/13/20
BAC,23.92,Call,26.00,12/18/20,249,2.40,2.48,2.56,2.48,5662,607,9.33,40.74%,04/13/20
TSLA,650.95,Put,645.00,04/17/20,4,23.00,23.5,24.00,24.00,1575,170,9.26,99.52%,04/13/20
BA,147.33,Call,149.00,04/17/20,4,5.30,5.82,6.35,5.90,1385,150,9.23,108.21%,04/13/20
PANW,182.96,Call,190.00,06/19/20,67,9.05,10.15,11.25,10.25,1004,110,9.13,41.75%,04/13/20
TSLA,650.95,Call,675.00,04/17/20,4,15.80,17.1,18.40,18.11,3581,393,9.11,102.99%,04/13/20
SQ,59.42,Put,56.50,04/17/20,4,0.99,1.17,1.35,1.23,1532,172,8.91,99.94%,04/13/20
TSLA,650.95,Call,650.00,04/17/20,4,26.40,27.33,28.25,26.64,29415,3340,8.81,96.17%,04/13/20
AMZN,2168.87,Call,2400.00,04/24/20,11,9.05,10.33,11.60,9.95,1267,144,8.8,47.35%,04/13/20
AMZN,2168.87,Put,2120.00,04/17/20,4,15.65,16.53,17.40,17.00,2525,287,8.8,40.69%,04/13/20
AUY,4.16,Call,5.00,05/15/20,32,0.16,0.18,0.19,0.18,974,111,8.77,90.73%,04/13/20
AMZN,2168.87,Put,2140.00,04/17/20,4,22.40,23.2,24.00,23.66,2456,283,8.68,40.47%,04/13/20
TSLA,650.95,Put,600.00,04/17/20,4,7.25,7.35,7.45,7.36,21031,2438,8.63,95.90%,04/13/20
AMZN,2168.87,Call,2250.00,04/17/20,4,10.50,10.95,11.40,10.88,5294,618,8.57,41.77%,04/13/20
AMZN,2168.87,Call,2000.00,07/17/20,95,252.30,256.05,259.80,255.00,2352,279,8.43,35.70%,04/13/20
BA,147.33,Put,148.00,04/17/20,4,7.10,7.15,7.20,7.15,3052,364,8.38,110.68%,04/13/20
AMZN,2168.87,Call,2160.00,04/17/20,4,38.80,40.15,41.50,40.10,3946,473,8.34,39.07%,04/13/20
TSLA,650.95,Put,570.00,04/17/20,4,2.80,2.9,2.99,2.90,9152,1098,8.34,98.30%,04/13/20
TSLA,650.95,Call,645.00,04/17/20,4,29.50,31.25,33.00,28.12,3841,461,8.33,92.35%,04/13/20
BYND,76.67,Call,77.00,04/17/20,4,2.78,2.88,2.98,2.80,905,110,8.23,92.18%,04/13/20
ROKU,96.56,Put,93.00,04/17/20,4,1.33,1.66,1.98,1.87,845,103,8.2,84.90%,04/13/20
IVR,4.18,Call,5.00,07/17/20,95,1.05,1.2,1.35,1.05,3206,392,8.18,156.18%,04/13/20
TSLA,650.95,Call,640.00,04/17/20,4,29.70,32.2,34.70,32.60,8157,1003,8.13,99.15%,04/13/20
ROKU,96.56,Call,105.00,04/24/20,11,1.53,1.77,2.00,1.91,4888,605,8.08,72.21%,04/13/20
JPM,98.19,Call,98.50,04/17/20,4,3.40,3.68,3.95,3.60,1021,129,7.91,91.24%,04/13/20
IOVA,30.23,Call,35.00,05/15/20,32,3.00,3.25,3.50,3.10,3039,387,7.85,134.10%,04/13/20
GPS,8.33,Put,10.00,04/17/20,4,0.81,1.88,2.95,1.48,2500,322,7.76,0.00%,04/13/20
JPM,98.19,Call,99.00,04/17/20,4,3.20,3.38,3.55,3.55,2414,312,7.74,95.60%,04/13/20
TSLA,650.95,Call,595.00,04/17/20,4,58.10,62.08,66.05,62.10,3384,440,7.69,94.46%,04/13/20
NFLX,396.72,Call,410.00,04/17/20,4,3.55,3.68,3.80,3.90,10604,1379,7.69,53.49%,04/13/20
TLRY,6.57,Put,3.00,06/19/20,67,0.15,0.32,0.49,0.44,4000,524,7.63,219.49%,04/13/20
NFLX,396.72,Put,380.00,04/17/20,4,3.00,3.15,3.30,3.00,3824,504,7.59,55.58%,04/13/20
TSLA,650.95,Call,705.00,04/17/20,4,10.50,10.93,11.35,10.92,1677,222,7.55,108.29%,04/13/20
HTHT,28.47,Put,20.00,05/15/20,32,0.10,0.18,0.25,0.25,1055,140,7.54,88.25%,04/13/20
AMZN,2168.87,Put,2040.00,04/17/20,4,3.50,3.9,4.30,3.73,3105,412,7.54,42.93%,04/13/20
UAL,28.91,Put,10.00,12/18/20,249,1.25,1.42,1.58,1.45,776,103,7.53,132.07%,04/13/20
DFS,36.18,Call,37.50,04/17/20,4,1.15,1.25,1.35,1.20,838,112,7.48,115.82%,04/13/20
BABA,199.44,Call,197.50,05/01/20,18,6.55,7.2,7.85,7.30,784,106,7.4,35.32%,04/13/20
GOOGL,1210.41,Put,1130.00,04/17/20,4,1.85,2.18,2.50,2.20,895,121,7.4,47.50%,04/13/20
FB,174.79,Call,187.50,04/17/20,4,0.10,0.15,0.20,0.17,1531,207,7.4,41.13%,04/13/20
AMZN,2168.87,Call,2290.00,04/17/20,4,5.65,6.1,6.55,6.15,1307,177,7.38,44.24%,04/13/20
AMZN,2168.87,Call,2230.00,04/17/20,4,14.80,15.05,15.30,14.80,2065,283,7.3,40.99%,04/13/20
WFC,31.43,Call,40.00,06/19/20,67,0.55,0.59,0.62,0.55,27491,3766,7.3,51.38%,04/13/20
AMZN,2168.87,Call,2200.00,04/24/20,11,50.50,52.25,54.00,52.57,2346,323,7.26,44.03%,04/13/20
ET,5.96,Put,3.00,10/16/20,186,0.35,0.39,0.42,0.35,3733,514,7.26,113.04%,04/13/20
DAL,23.25,Call,24.00,04/24/20,11,1.40,1.51,1.62,1.57,993,138,7.2,117.42%,04/13/20
BA,147.33,Call,147.00,04/17/20,4,7.00,7.23,7.45,7.05,1099,153,7.18,111.89%,04/13/20
GOOG,1217.56,Put,1135.00,04/17/20,4,1.65,2.47,3.30,3.20,716,100,7.16,53.12%,04/13/20
NFLX,396.72,Put,377.50,04/17/20,4,2.20,2.52,2.83,2.67,1781,249,7.15,57.54%,04/13/20
D,79.53,Call,90.00,07/17/20,95,1.80,2,2.20,1.75,10036,1403,7.15,31.22%,04/13/20
TSLA,650.95,Call,740.00,04/17/20,4,5.85,6.18,6.50,6.00,2250,315,7.14,114.09%,04/13/20
CHWY,40.24,Put,38.00,04/17/20,4,0.55,0.65,0.75,0.73,1661,233,7.13,98.61%,04/13/20
TSLA,650.95,Call,690.00,04/17/20,4,12.95,13.85,14.75,14.17,3587,503,7.13,106.03%,04/13/20
PAA,6.33,Put,6.00,04/17/20,4,0.20,0.25,0.30,0.25,818,115,7.11,153.05%,04/13/20
AMZN,2168.87,Call,2210.00,04/17/20,4,19.00,19.9,20.80,20.05,2004,284,7.06,40.38%,04/13/20
ADNT,11.26,Call,30.00,01/15/21,277,0.40,0.65,0.90,0.60,2505,355,7.06,85.93%,04/13/20
TSLA,650.95,Call,615.00,04/17/20,4,43.55,47.58,51.60,47.28,3058,433,7.06,95.68%,04/13/20
OI,6.8,Call,12.00,10/16/20,186,0.35,0.4,0.45,0.40,1763,250,7.05,77.88%,04/13/20
AAPL,273.25,Put,267.50,04/24/20,11,5.20,5.4,5.60,5.55,2203,313,7.04,43.53%,04/13/20
AG,7.67,Call,8.50,04/17/20,4,0.10,0.13,0.15,0.15,924,132,7,132.76%,04/13/20
HON,137.94,Call,165.00,06/19/20,67,1.57,1.92,2.27,1.80,10065,1440,6.99,38.48%,04/13/20
TSLA,650.95,Call,685.00,04/17/20,4,15.00,15.83,16.65,15.35,2272,326,6.97,104.90%,04/13/20
SM,2.23,Call,2.50,04/17/20,4,0.20,0.23,0.25,0.25,8162,1184,6.89,376.71%,04/13/20
KR,31.33,Put,27.00,05/15/20,32,0.18,0.4,0.61,0.41,1019,149,6.84,52.88%,04/13/20
NFLX,396.72,Call,415.00,04/24/20,11,13.20,14.23,15.25,14.57,700,103,6.8,80.04%,04/13/20
DUK,87.36,Call,100.00,06/19/20,67,0.80,0.95,1.10,1.10,10252,1512,6.78,31.67%,04/13/20
HLT,66.64,Put,45.00,05/15/20,32,0.90,1,1.10,1.00,846,125,6.77,110.89%,04/13/20
NFLX,396.72,Call,420.00,04/17/20,4,1.95,2.04,2.12,2.12,7696,1138,6.76,56.10%,04/13/20
VIAC,16.06,Put,17.00,04/17/20,4,1.22,1.34,1.46,1.24,2132,319,6.68,97.05%,04/13/20
AMZN,2168.87,Call,2240.00,04/17/20,4,12.05,12.5,12.95,12.84,2537,380,6.68,41.57%,04/13/20
TSLA,650.95,Call,660.00,04/17/20,4,23.30,23.65,24.00,24.00,4310,648,6.65,103.26%,04/13/20
AMZN,2168.87,Call,2250.00,04/24/20,11,31.85,33.43,35.00,34.00,736,111,6.63,43.52%,04/13/20
CLDR,7.99,Call,8.50,04/17/20,4,0.05,0.1,0.15,0.10,1618,244,6.63,82.83%,04/13/20
ATVI,62.75,Put,60.00,04/24/20,11,0.92,1.36,1.80,0.97,722,109,6.62,48.69%,04/13/20
TSLA,650.95,Call,695.00,04/17/20,4,12.80,13.55,14.30,13.15,1567,238,6.58,107.44%,04/13/20
AMZN,2168.87,Call,2130.00,04/17/20,4,55.70,57.6,59.50,59.16,3565,546,6.53,40.38%,04/13/20
TSLA,650.95,Call,585.00,04/17/20,4,66.65,70.38,74.10,71.00,3380,521,6.49,98.71%,04/13/20
AMD,50.94,Put,49.00,04/17/20,4,0.64,0.65,0.66,0.64,21073,3280,6.42,67.31%,04/13/20
ROKU,96.56,Call,97.00,04/17/20,4,3.05,3.1,3.15,3.07,2455,383,6.41,81.14%,04/13/20
GILD,75.28,Put,70.00,04/24/20,11,0.76,0.85,0.93,0.82,2053,322,6.38,53.29%,04/13/20
GOLD,24.37,Call,26.00,04/17/20,4,0.13,0.19,0.24,0.23,1508,237,6.36,75.25%,04/13/20
PSTI,7.91,Put,8.00,04/17/20,4,0.95,1.05,1.15,1.08,678,107,6.34,312.96%,04/13/20
TLRY,6.57,Call,6.50,04/24/20,11,0.69,1.35,2.00,0.71,949,150,6.33,149.15%,04/13/20
NFLX,396.72,Call,392.50,04/17/20,4,10.10,10.73,11.35,10.80,1833,291,6.3,51.52%,04/13/20
WFC,31.43,Put,27.00,05/01/20,18,0.60,0.7,0.79,0.60,635,101,6.29,82.32%,04/13/20
ADI,99.67,Call,110.00,05/15/20,32,1.75,1.98,2.20,1.96,6248,995,6.28,45.77%,04/13/20
PDD,41.42,Call,42.00,04/17/20,4,0.55,0.65,0.75,0.65,6298,1006,6.26,52.14%,04/13/20
JPM,98.19,Put,98.50,04/17/20,4,3.60,3.75,3.90,3.60,1113,179,6.22,84.04%,04/13/20
TGT,104.68,Call,120.00,06/19/20,67,1.73,1.82,1.90,1.79,24016,3866,6.21,35.68%,04/13/20
ADBE,320.65,Put,275.00,05/15/20,32,3.00,3.63,4.25,4.25,677,110,6.15,54.27%,04/13/20
JNJ,139.77,Call,142.00,04/17/20,4,2.05,2.47,2.88,2.27,799,130,6.15,55.35%,04/13/20
ROKU,96.56,Call,105.00,04/17/20,4,0.81,0.84,0.86,0.83,20469,3327,6.15,84.81%,04/13/20
AMZN,2168.87,Put,2170.00,04/17/20,4,36.00,37.53,39.05,37.37,804,131,6.14,40.81%,04/13/20
ROKU,96.56,Call,110.00,04/24/20,11,0.98,0.99,0.99,0.97,1135,186,6.1,71.42%,04/13/20
HTZ,5.76,Call,7.00,05/15/20,32,0.60,0.65,0.70,0.65,1697,278,6.1,156.36%,04/13/20
PTON,31.99,Call,40.00,04/24/20,11,0.12,0.13,0.14,0.14,963,159,6.06,83.66%,04/13/20
AMZN,2168.87,Call,2260.00,04/17/20,4,8.70,9.3,9.90,9.30,1496,247,6.06,42.16%,04/13/20
TSLA,650.95,Call,750.00,04/17/20,4,5.10,5.25,5.40,5.40,8008,1331,6.02,117.98%,04/13/20
SQ,59.42,Put,40.00,06/18/21,431,5.15,5.35,5.55,5.75,2000,335,5.97,65.16%,04/13/20
TSLA,650.95,Call,800.00,04/17/20,4,2.31,2.36,2.40,2.31,14446,2438,5.93,124.81%,04/13/20
TSLA,650.95,Call,700.00,04/24/20,11,25.50,27,28.50,28.50,2423,409,5.92,105.11%,04/13/20
TSLA,650.95,Call,605.00,04/17/20,4,50.50,54.48,58.45,53.66,3902,660,5.91,91.26%,04/13/20
CAKE,18.88,Put,12.50,07/17/20,95,1.35,1.43,1.50,1.45,1881,319,5.9,124.09%,04/13/20
AMD,50.94,Call,51.00,04/24/20,11,2.13,2.17,2.20,2.18,8817,1495,5.9,62.35%,04/13/20
TDOC,154.13,Put,135.00,05/15/20,32,7.00,8,9.00,7.58,812,138,5.88,90.25%,04/13/20
RAD,14.16,Call,13.00,05/15/20,32,2.91,3.01,3.10,2.98,1185,202,5.87,147.55%,04/13/20
MRO,4.39,Call,4.50,05/08/20,25,0.41,0.51,0.60,0.53,810,139,5.83,125.89%,04/13/20
BCOR,12.71,Call,15.00,10/16/20,186,1.60,1.7,1.80,1.80,863,148,5.83,71.00%,04/13/20
ADBE,320.65,Put,315.00,05/15/20,32,12.70,13.18,13.65,14.08,1414,243,5.82,45.15%,04/13/20
ZM,135.92,Call,160.00,05/01/20,18,2.20,3.1,4.00,3.50,1473,253,5.82,90.50%,04/13/20
DAL,23.25,Put,16.00,06/19/20,67,1.31,1.44,1.57,1.33,843,146,5.77,120.61%,04/13/20
TECK,8.3,Call,7.00,05/15/20,32,1.25,1.58,1.90,1.75,1021,179,5.7,106.64%,04/13/20
JPM,98.19,Call,107.00,04/17/20,4,0.75,0.9,1.05,0.96,3142,552,5.69,90.32%,04/13/20
SNAP,13.54,Put,13.50,04/24/20,11,1.02,1.03,1.04,1.04,773,136,5.68,113.70%,04/13/20
NEWT,15.88,Call,20.00,09/18/20,158,1.50,1.8,2.10,1.75,1137,201,5.66,73.02%,04/13/20
WFC,31.43,Call,36.00,04/24/20,11,0.43,0.46,0.50,0.44,1481,262,5.65,82.20%,04/13/20
TSLA,650.95,Call,680.00,04/17/20,4,16.50,16.8,17.10,16.81,5095,906,5.62,104.48%,04/13/20
JPM,98.19,Call,98.00,04/17/20,4,3.70,4.05,4.40,3.90,2435,434,5.61,92.72%,04/13/20
NFLX,396.72,Put,375.00,04/17/20,4,2.25,2.35,2.45,2.27,3589,641,5.6,58.43%,04/13/20
WFC,31.43,Call,34.00,04/24/20,11,0.75,0.83,0.91,0.88,1639,294,5.57,83.52%,04/13/20
AMD,50.94,Call,51.00,04/17/20,4,1.31,1.33,1.34,1.34,36857,6619,5.57,64.19%,04/13/20
AMZN,2168.87,Put,2000.00,04/17/20,4,1.88,1.93,1.98,1.95,5001,901,5.55,46.26%,04/13/20
AMZN,2168.87,Call,2150.00,04/17/20,4,44.50,45.75,47.00,46.00,14938,2690,5.55,39.46%,04/13/20
TSLA,650.95,Call,620.00,04/17/20,4,39.75,42.38,45.00,44.00,8138,1475,5.52,96.27%,04/13/20
AMD,50.94,Call,53.00,04/17/20,4,0.53,0.55,0.58,0.54,7334,1335,5.49,60.84%,04/13/20
BP,24.91,Call,30.00,10/16/20,186,1.10,1.3,1.49,1.16,1244,227,5.48,38.57%,04/13/20
NFLX,396.72,Call,560.00,11/20/20,221,7.95,8.35,8.75,8.50,1413,258,5.48,37.63%,04/13/20
TSLA,650.95,Call,715.00,04/17/20,4,9.00,9.28,9.55,9.40,1271,233,5.45,110.94%,04/13/20
TSLA,650.95,Call,625.00,04/17/20,4,38.50,41.55,44.60,41.11,5697,1045,5.45,97.80%,04/13/20
AMZN,2168.87,Call,2140.00,04/17/20,4,49.70,51.45,53.20,50.40,3987,736,5.42,37.59%,04/13/20
